"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",275,0,329,1,234,64,1,146,14,0,1,0,18,0,32,0,2,84,0,78,0
"2",368,83,147,1,1,0,120,63,64,88,4,25,1,1,2,66,39,171,54,0,0
"3",115,0,29,112,0,205,0,1,58,176,0,157,1,57,0,0,16,0,0,7,0
"4",3,383,0,0,96,2,163,0,0,0,6,0,132,16,0,0,2,0,1,0,1
"5",0,0,0,179,1,0,492,0,2,0,4,0,0,0,0,1,0,0,4,0,37
"6",404,40,1,4,496,0,1,0,16,2,0,1,0,1,0,2,1,72,200,1,0
"7",65,1,23,4,0,249,0,93,111,0,0,0,0,0,101,0,115,0,1,172,0
"8",0,144,1,16,1,0,1,0,0,1,0,0,0,291,0,11,0,0,19,0,0
"9",228,0,0,108,0,45,0,260,0,0,0,0,174,9,0,0,6,0,0,0,0
"10",7,1,0,1,37,0,0,0,0,1,0,0,120,0,0,0,141,0,3,0,0
"11",0,21,1,0,0,0,0,0,7,0,0,35,0,0,132,41,0,0,0,1,0
"12",2,0,0,0,1,0,0,0,0,745,0,0,0,0,0,1,0,0,0,0,0
"13",2,113,1,122,1,0,2,277,9,1,305,1,0,1,34,44,0,0,1,36,0
"14",284,0,1,17,0,0,0,0,0,0,55,194,1,45,106,78,24,0,29,93,0
"15",3,0,147,0,0,0,0,0,278,0,0,0,35,0,1,92,1,12,0,0,0
"16",20,145,0,0,0,0,0,0,0,82,0,0,0,0,0,0,1,0,0,0,0
"17",0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
"18",0,0,1,251,0,11,0,10,0,0,0,0,0,27,0,0,15,0,0,0,0
"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",42,0,11,0,1,1,2,2,2,1,0,1,0,0,0,0,1,5,0,2,393
