"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",55,43,654,1,20,4,0,0,0,0,0,0
"2",27,20,2,412,7,436,0,0,0,0,0,0
"3",787,42,2,27,5,0,0,0,0,2,0,0
"4",3,7,13,20,363,41,0,0,0,0,0,0
"5",553,30,8,25,8,5,0,0,0,0,0,0
"6",2,2,167,4,6,0,0,0,1,0,0,0
"7",203,21,2,5,0,3,0,0,0,0,0,0
"8",0,6,1,225,1,0,0,0,0,0,0,0
"9",2,3,282,1,2,0,0,0,0,0,0,0
"10",1,2,0,3,1,1,0,0,0,0,0,0
"11",0,3,1,1,9,0,0,50,0,0,0,0
"12",1,271,1,2,1,0,0,0,0,0,0,0
"13",16,143,1,35,2,1,0,0,0,0,0,0
"14",0,4,2,0,0,0,0,0,0,0,0,0
"15",2,1,3,0,1,2,55,0,0,0,0,0
"1A",12,11,4,4,652,1,0,0,0,0,0,0
"17",2,4,0,3,2,1,0,0,0,0,0,2
"18",0,202,1,0,1,0,0,0,0,0,0,0
"1B",0,1,13,0,0,0,0,0,0,0,0,0
"20",4,2,2,148,0,0,0,1,0,0,0,0
"21",2,0,1,0,0,0,0,0,0,0,3,0
"22",0,1,0,0,0,1,0,0,1,0,0,0
"24",0,2,1,0,1,0,0,0,22,0,0,0
"26",0,3,0,120,1,0,0,0,0,0,0,0
"27",0,3,1,1,1,159,0,0,0,0,0,0
"28",0,0,0,0,1,1,0,0,0,0,0,0
"Un",173,397,227,130,152,100,11,1,5,3,0,0
"Z",20,386,0,5,2,1,0,0,0,12,0,0
"4A",2,1,6,2,3,0,0,2,0,0,0,0
"19",2,6,0,2,1,0,0,0,0,0,0,0
