"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",46.5166666667,24.75,546.683333333,0.5,14.5,2.58333333333,0,0,0,0,0,0
"2",21.8333333333,3.53333333333,1.5,359.25,3.0,366.083333333,0,0,0,0,0,0
"3",702.383333333,35.25,0.35,25.25,4.0,0,0,0,0,1.5,0,0
"4",2.0,3.41666666667,10.8333333333,16.0,304.333333333,34.3333333333,0,0,0,0,0,0
"5",467.261904762,23.0,3.17857142857,4.34523809524,2.7380952381,2.64285714286,0,0,0,0,0,0
"6",2.0,2.0,141.333333333,3.0,2.16666666667,0,0,0,1.0,0,0,0
"7",163.166666667,15.5,1.04347826087,5.0,0,1.5,0,0,0,0,0,0
"8",0,4.5,1.0,194.0,0.5,0,0,0,0,0,0,0
"9",0.552631578947,1.16666666667,252.133333333,1.0,0.566666666667,0,0,0,0,0,0,0
"10",1.0,2.0,0,2.0,1.0,0.5,0,0,0,0,0,0
"11",0,2.0,1.0,0.5,9.0,0,0,48.5,0,0,0,0
"12",0.5,227.416666667,0.0434782608696,1.5,0.25,0,0,0,0,0,0,0
"13",12.5,128.666666667,0.5,20.5,0.5,0.5,0,0,0,0,0,0
"14",0,2.35606060606,1.5,0,0,0,0,0,0,0,0,0
"15",0.833333333333,1.0,2.33333333333,0,1.0,0.833333333333,45.8333333333,0,0,0,0,0
"1A",4.33333333333,5.75,0.266666666667,2.75,550.716666667,0.25,0,0,0,0,0,0
"17",2.0,2.5,0,2.0,1.5,1.0,0,0,0,0,0,2.0
"18",0,178.69047619,0.5,0,0.5,0,0,0,0,0,0,0
"1B",0,0.5,9.5,0,0,0,0,0,0,0,0,0
"20",2.25,1.0,0.75,129.666666667,0,0,0,0.5,0,0,0,0
"21",0.5,0,0.5,0,0,0,0,0,0,0,3.0,0
"22",0,1.0,0,0,0,1.0,0,0,1.0,0,0,0
"24",0,0.0512820512821,0.5,0,0.333333333333,0,0,0,15.3333333333,0,0,0
"26",0,0.525641025641,0,115.083333333,0.25,0,0,0,0,0,0,0
"27",0,1.83333333333,0.333333333333,1.0,1.0,140.0,0,0,0,0,0,0
"28",0,0,0,0,1.0,0.5,0,0,0,0,0,0
"Un",70.0307017544,124.951431901,91.1297101449,65.75,73.7166666667,57.0,5.5,0.5,2.66666666667,3.0,0,0
"Z",19.0,338.308441558,0,4.0,1.07692307692,0.333333333333,0,0,0,0.923076923077,0,0
"4A",1.1,0.5,3.6,2.0,2.0,0,0,1.0,0,0,0,0
"19",1.0,5.0,0,1.5,1.0,0,0,0,0,0,0,0
