"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",0,1,12,0,27,1,21,0,1,38,0,1,0,0,0,9,22,0,0,0,89,135,0,0,67,0,49,1,0,0,72,0,86,0,0,0,0,2,101
"2",43,61,1,14,1,0,77,3,2,0,22,0,112,128,0,30,2,31,0,19,0,0,94,0,0,1,0,0,111,1,0,0,0,37,77,0,1,0,1
"3",184,0,0,49,0,0,68,0,2,76,0,258,0,0,0,5,142,3,1,0,0,0,7,49,21,0,0,0,0,1,0,0,0,0,0,0,3,17,0
"4",1,0,105,0,1,1,0,0,0,0,0,0,69,0,62,62,21,0,38,0,0,0,0,12,16,0,0,0,0,0,0,106,0,0,0,0,0,0,1
"5",1,0,1,0,0,0,0,281,0,0,1,1,0,0,1,0,0,195,0,0,62,0,0,0,0,1,0,0,1,60,0,0,0,0,0,0,0,0,0
"6",0,0,1,106,0,0,0,0,2,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,11,0,219,0,0,0,0,0,1,0,0,0,0,1
"7",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,59,1,0,0,4,0,15,0,2,0,0,0,13,0,23,0,0,103,123,0,0
"8",1,1,0,0,54,105,32,0,0,0,1,1,0,0,60,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,7,1
"9",0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,1,77,1,58,1,0,0,0,0,7,0,26,97,0,0,10,0,0
"10",0,0,91,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,174,0,0,0,0,0,0,0,0,0
"11",27,58,0,0,167,0,0,1,0,1,0,0,0,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3
"13",0,37,0,108,0,0,0,0,0,1,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,2,27,251,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0
"1A",1,30,0,0,1,0,0,0,1,197,0,0,0,60,83,38,2,38,0,1,0,0,0,0,0,0,137,0,0,0,0,0,0,0,3,0,0,0,3
"24",1,0,0,0,116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,24,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,216,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"21",0,43,0,0,69,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,12,0,1,1,0,0,28,7,0,0,0,0,0,0,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,97,0,0,0,1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"26",0,0,0,0,0,23,40,0,0,0,0,42,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0
"27",0,0,0,0,0,0,1,4,122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"28",0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un",34,14,1,1,15,9,31,2,20,32,4,6,6,3,3,3,21,11,0,30,6,0,1,5,7,0,30,0,0,4,0,0,1,2,0,0,0,9,11
"Z",90,63,89,66,1,1,22,0,1,1,170,0,0,0,0,8,3,0,1,1,4,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"4A",0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,178
"17",0,0,0,0,0,0,0,0,159,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"19",0,0,0,0,27,54,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
