"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",1.31875,2.55625,12.6645833333,1.0875,32.7854166667,2.025,22.4145833333,0.889583333333,2.46666666667,44.4520833333,0.50625,2.0875,0.5,0,0.05,11.8333333333,25.5,0.53125,0.445833333333,1.25,102.03125,146.2,1.0875,0.03125,76.8375,0.025,54.05,1.33333333333,0.025,0.025,85.9166666667,1.08125,94.8333333333,0.275,0.0625,0.525,0,3.05,114.6125
"2",47.0055555556,68.8333333333,1.83333333333,14.8125,2.08333333333,0.5,85.5833333333,4.14583333333,5.0,2.66666666667,24.4583333333,0.583333333333,124.883333333,137.760714286,0.833333333333,34.25,2.8125,33.0,0,23.25,1.0625,0.458333333333,109.333333333,1.0,0.25,1.0,2.03333333333,0.0769230769231,127.2125,1.25,0,1.5,0.0625,39.0,84.4551587302,0.333333333333,1.66666666667,0,3.19166666667
"3",187.783333333,0.593023255814,0.273255813953,50.7131782946,0.546511627907,0,69.5465116279,0.273255813953,2.60658914729,81.9399224806,0.0232558139535,260.676356589,0.0232558139535,0.046511627907,0.87984496124,5.5,145.07881137,3.02325581395,2.02325581395,0.5,0.333333333333,0.046511627907,9.22325581395,53.15,22.7965116279,0,0.333333333333,0.0232558139535,0,1.79651162791,1.04651162791,0,0.046511627907,0.123255813953,0.0232558139535,0.0232558139535,3.0,20.8333333333,2.02325581395
"4",1.5,0.611111111111,119.75,1.08333333333,1.0,1.27777777778,0,0.5,0.333333333333,0.375,0.666666666667,0.833333333333,76.5,0,65.7777777778,68.25,22.8333333333,0.5,43.0,0.5,0.5,0,0.222222222222,13.5,17.6111111111,0,0.111111111111,0.5,0.5,0.75,0,120.527777778,0.5,0,0,0,0.5,0,1.36111111111
"5",2.09848484848,0.6,2.42424242424,0.433333333333,0.583333333333,1.19090909091,0,316.280492424,0,1.08333333333,2.53333333333,1.36666666667,0.690909090909,0.75,1.33333333333,1.0,1.94444444444,207.016666667,0,0,71.25,0.890909090909,0.590909090909,0.45,0.711111111111,1.45,0.0909090909091,0.166666666667,1.0,66.3142857143,0,0.5,0,0.7,0.2,0,0.1,0.1,0.942234848485
"6",0,0,1.5,118.966666667,0,0,0,0,2.0,0,1.0,1.0,0,1.0,0,1.33333333333,2.25,0.5,0.833333333333,0.0666666666667,1.0,0,0,0,0,12.8,0,246.783333333,0,0,0.5,1.5,0,1.0,0,0,0,0,1.25
"7",0,0,0.125,0,0,0,0.5,0,0,1.0,0.5,1.0,1.0,2.0,0.333333333333,0,0,0.5,64.1666666667,1.04347826087,1.0,0,4.33333333333,0,18.1666666667,0.5,2.125,0,0,0.5,14.0,0,23.6666666667,0,0,111.375,134.708333333,0,0.75
"8",1.75,1.5,0,0,58.6666666667,114.583333333,37.3333333333,0,0.5,0,1.59090909091,1.5,0.5,0,71.5833333333,0,1.0,0,0,0,0,0,0.5,1.0,0,0,1.0,0,0.25,1.0,0,0,0,0.5,0,0,0,7.16666666667,1.0
"9",0.5,1.0,0,0,2.0,2.16666666667,0.833333333333,0,0,0.5,0.333333333333,0,0,1.25,0,0.133333333333,0.0526315789474,0,14.0,0.666666666667,0,1.5,84.1666666667,1.0,64.25,1.25,0.25,0,0,0,7.0,0.5,29.6666666667,108.316666667,0,0,11.25,0,1.5
"10",0.333333333333,0,102.083333333,0,0,0,0,0.5,0.5,0,0,0.333333333333,5.0,0,0,0,0.333333333333,0,0.5,0.5,0,0.166666666667,0.5,0.5,0.833333333333,1.83333333333,0.833333333333,0,1.0,189.833333333,0,0.25,0,0.25,0,0.25,0,0.5,1.16666666667
"11",30.6,59.75,0.333333333333,0,169.75,0,0.916666666667,1.0,0,1.0,0,0.25,0.5,0,7.25,0,1.0,0,0,1.0,0,0,1.0,0.833333333333,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.583333333333
"12",16.125,0.166666666667,0.583333333333,0.5,0.25,0.833333333333,0.166666666667,0.0833333333333,0,0,0,0.125,0,1.0,0.0833333333333,0,0.291666666667,0.5,0,237.701811594,0,0,0,0,0.0833333333333,1.0,0.125,0,0,0,0.0833333333333,0.5,0,0,0.0833333333333,0,0,2.0,4.125
"13",0,39.8333333333,0.5,119.833333333,0.333333333333,0,0,0,0.333333333333,1.0,66.3333333333,0,0.25,0,0.25,0,1.5,0,0,0.333333333333,0,0,0,0.333333333333,0.5,0,0,0.5,0,0,0,0.25,0,0,0.666666666667,0,0.333333333333,0,0.833333333333
"14",1.5,0.1,0.166666666667,3.0,28.0,263.0,0.5,1.1,0,0,0.6,0,1.5,0.5,1.1,0.416666666667,1.0,0,0,0.166666666667,0,0,1.66666666667,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1.16666666667
"15",0,0,0.333333333333,0,1.2,0.833333333333,0.333333333333,0,0,1.16666666667,0,0,0.7,0,0,0.333333333333,1.0,0,0,0,1.0,0,0.5,0,0.5,259.9,0,0,0,0,0.7,0.2,0,0.2,0,0,0,0,1.93333333333
"1A",1.14285714286,35.9404761905,0.75,0.583333333333,1.0,1.08333333333,0.5,0.642857142857,2.0,216.25,0,0.5,0.22619047619,63.1622807018,89.75,41.0166666667,2.99122807018,44.6944444444,0,1.625,0,0,0.583333333333,0,0.642857142857,0,152.851190476,0.25,0.22619047619,0.125,0,0.5,0,0.133333333333,3.98934837093,0.5,0.0833333333333,0,6.36507936508
"24",1.0,0,0,0,125.333333333,0,0,0,0,0,0,1.05128205128,0,0,0.333333333333,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0.237037037037,0.1,0,0,25.3571428571,0.537037037037,1.2037037037,0.337037037037,181.237037037,0.0740740740741,0.6,0,0.537037037037,0.0740740740741,0.137037037037,0,0,0,0.0740740740741,0,0.2,0.240740740741,0.240740740741,0,0,0.111111111111,0.366666666667,0,0.1,0.037037037037,0,0.166666666667,0.5,1.0,0.0740740740741,0.037037037037,0,0,0.111111111111
"1B",0.333333333333,0,0,0,0,0,0,0,0,0.2,0.333333333333,0,0.2,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,1.0,13.4,0.2,0,0,0,0,0,0,0.333333333333
"20",0,0.5,0.25,0.7,0,0,0.25,0,0,0,0.5,0.5,0,0.2,0,0.25,0,0,0.2,1.75,0,0,0,238.2,1.5,0,0,0,1.0,2.5,0,0,0,0,0,0,0,0,0.2
"21",0,47.1666666667,0,0,79.8333333333,0.5,0,0.5,0,0,0.333333333333,0,0,0,4.0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"22",0,0,0,0,0,0,0.333333333333,0,0,12.3333333333,0,1.33333333333,1.5,0,0,30.0,7.91666666667,0,0.5,0.333333333333,0,0.833333333333,0,5.0,13.3333333333,1.0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.333333333333
"23",0.642857142857,103.142857143,0,0.666666666667,0,1.5,0.142857142857,0,0.333333333333,0,0,0.333333333333,0.666666666667,0.5,46.6666666667,0,0.142857142857,0.142857142857,0.142857142857,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.142857142857,0,0,0,2.33333333333
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,26.6666666667,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,4.0,0
"26",0,0,0,0.5,0,24.0,41.0833333333,0,0.625,0,0,44.483974359,0,0,0.5,0,18.5,0,0,0.5,0,0.125,0,0,0,1.0,0,0.25,0.375,0,0,0,0.25,0,0,0,0,5.16666666667,0
"27",0.833333333333,0,0,0.25,0,0.333333333333,2.33333333333,4.0,131.083333333,0.125,0,1.5,0,0.00714285714286,0,0,0,0,0,0.5,0,0,0,0,0,0,0.333333333333,0.5,0,0,0.333333333333,0,0,0.5,0.00714285714286,0,0.5,1.0,0.833333333333
"28",0,0,0.666666666667,0.5,0,0,0,1.0,0,2.0,0,0,0,0,1.0,0,1.0,0,0.333333333333,148.583333333,0,0.166666666667,0,0,0.5,0,0,0,0.333333333333,0.5,0,0,0,0,0,0,0,0,0.75
