"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",21,0,1,52,0,207,40,8,0,1,7,98,160,0,112,2,23,0,0
"2",2,223,0,61,124,55,2,199,1,76,2,0,98,21,0,2,1,0,2
"3",80,0,47,0,0,1,278,0,29,442,1,1,0,0,2,2,0,0,0
"4",0,0,0,0,0,1,30,1,443,1,0,0,0,0,0,1,0,1,0
"5",0,0,0,0,0,0,0,0,0,2,344,0,0,0,268,0,0,0,0
"6",0,0,339,0,0,0,2,0,0,1,0,0,0,1,1,2,0,0,0
"7",0,0,0,2,0,0,0,2,1,1,0,0,40,0,0,0,298,0,0
"8",41,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,230,0,0
"9",0,0,0,0,1,1,1,0,1,0,0,0,198,0,1,1,85,1,0
"10",0,1,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,255
"12",2,0,0,0,1,0,0,220,0,0,0,2,1,16,0,0,0,0,0
"13",0,0,0,0,0,210,0,0,1,0,0,0,0,0,0,0,0,0,0
"14",0,1,2,0,0,0,1,0,0,0,1,1,1,0,0,27,0,253,1
"15",0,0,0,0,237,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1A",0,0,0,457,0,0,1,137,0,3,0,2,0,0,0,1,3,0,0
"24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,115,0,0,0,1
"18",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,209,0,0,0
"1B",0,0,0,0,0,0,0,0,0,0,1,0,14,0,11,0,0,0,0
"20",0,1,0,0,0,0,217,0,0,0,2,0,1,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,0,0
"22",0,0,0,0,0,0,23,8,44,1,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"25",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"26",46,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0,30,0,0
"27",1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,123,0,0,0
"28",0,0,0,0,0,1,2,137,0,0,1,0,0,0,0,1,0,0,0
"Un",39,4,0,60,7,8,29,39,11,9,8,10,6,2,21,24,23,10,31
"Z",0,0,0,1,24,248,3,1,18,0,1,0,0,227,3,1,5,0,2
"4A",0,2,0,0,2,3,0,0,1,0,0,179,2,1,1,1,1,0,1
"17",0,0,0,0,0,0,0,0,0,2,0,0,1,193,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,0,56,0
