"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",23.9621212121,1.0,1.04545454545,56.9242424242,0.924242424242,229.462121212,45.5371212121,11.8333333333,1.09090909091,2.74545454545,8.83712121212,113.132575758,182.731818182,1.0,128.628787879,4.25378787879,28.5909090909,1.66666666667,0.5
"2",2.00869565217,253.65,0.0384615384615,69.3369047619,133.544444444,58.330952381,5.5,223.055128205,4.31666666667,86.198015873,2.56666666667,1.83405797101,113.166666667,24.45,1.88333333333,4.5,3.46980676329,0.5,2.20869565217
"3",85.1847826087,0,48.6666666667,0.316666666667,0,1.56666666667,292.255555556,1.5,29.9666666667,449.6,2.06666666667,3.63623188406,1.26666666667,0.133333333333,2.0,2.31666666667,2.20144927536,0,0.868115942029
"4",0.508695652174,0,0,1.29166666667,0.5,2.25,33.5,1.25,496.535714286,1.83333333333,0.428571428571,0.803105590062,2.0,0,0.666666666667,1.5,0.00869565217391,1.0,0.342028985507
"5",0.0240802675585,0.730769230769,0.0307692307692,1.6165158371,0.246153846154,0.746153846154,2.68055555556,0.0461538461538,1.98269230769,3.57115384615,386.467330586,2.04383361204,0.296153846154,0.822435897436,285.314102564,0.348717948718,0.116387959866,0.5,0.304849498328
"6",0,0,380.55,0,0,0.5,3.0,1.06666666667,2.5,1.0,0.5,0,0,1.0,1.0,2.0,0.5,0,0
"7",0.55,0.2,0,2.2,0.2,0.7,0.5,3.3768115942,1.83333333333,1.0,0.6,0.8,41.65,0,0.5,0.1,325.083333333,0,0
"8",46.0,0,0,1.80882352941,0,1.5,0.5,0.5,0,1.0,1.0,1.25,0.5,2.09090909091,0,0.5,254.833333333,0,0
"9",0.00869565217391,0,0,1.11111111111,1.0,1.0,1.16374269006,1.67777777778,1.5,0,0,1.35072463768,218.522222222,0,1.0,1.5,92.5086956522,1.33333333333,0.453140096618
"10",0.5,1.0,0,1.0,0.333333333333,0.333333333333,0,0.833333333333,0.333333333333,0.25,297.75,1.66666666667,0,0.5,0,0,0,0,0
"11",0,0,0.166666666667,0.5,0.722222222222,0,0.833333333333,0.5,0.666666666667,1.0,2.0,0.25,1.0,0,0.5,0,1.11111111111,0,263.016666667
"12",2.5,0,0,0,1.0,0,0.166666666667,242.743478261,1.0,0,0.5,3.66666666667,1.0,16.0,0,0,0,0.833333333333,0
"13",0.5,0,0.75,0,0,230.583333333,0,0,1.5,0.666666666667,0.333333333333,1.08333333333,0,0.333333333333,0.333333333333,0.666666666667,0,0,0
"14",0.166666666667,1.11111111111,2.0,0,0.5,0,1.5,1.41666666667,0.361111111111,0.333333333333,1.11111111111,1.11111111111,1.0,0,0.111111111111,29.1666666667,0,263.027777778,1.0
"15",1.0,0,0.5,0.25,261.583333333,0,0.333333333333,0.5,0.583333333333,0.5,0,0,1.25,1.0,1.0,1.0,0,0.333333333333,0
"1A",0.75,0.125,0,500.883823529,0,1.24166666667,2.28333333333,150.942857143,0.45,5.0,1.58333333333,4.19047619048,0.1,0.5,0.2,1.0,3.41666666667,0,0.5
"24",0,0,0,0.333333333333,0,1.33333333333,0,0,0,0.384615384615,0,0,0,0,125.166666667,0,0.5,0,1.0
"18",1.25,0,0,0.25,0,0.5,0,0.25,0.75,0,0,1.0,1.5,0.25,0.333333333333,222.44047619,0,0.5,0
"1B",0,0,0,0,0,0,0.25,0,0,0,1.0,0.25,14.0,0,11.5,0,0.25,0,0.25
"20",0,1.0,0,0,0.583333333333,0.5,238.416666667,1.0,0.333333333333,0.166666666667,2.5,0,1.0,1.0,0,0,0,0,0
"21",0,0.5,0,0,0,0,0,0,0,0,0.5,0,1.0,0.333333333333,0,1.0,104.0,0.5,0
"22",0,0.5,0,0,0,0.5,25.3333333333,9.0,45.3333333333,1.5,0,0,0,0,0,0,0.333333333333,0,0
"23",0,0.333333333333,0,0.125,0.5,0,0,0,0.625,1.125,0,2.20833333333,0.125,0,0.125,0,158.833333333,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0
"25",30.6666666667,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,20.0,0,0
"26",48.0,0,0,0.5,1.0,1.0,0,0.5,0,46.0256410256,0,0.5,0.5,0,0,0.5,32.0,0,0.333333333333
"27",1.33333333333,0,0,0.960714285714,0,0.509523809524,0.833333333333,0,0,1.00238095238,6.0,1.33333333333,0,1.0,0,130.166666667,0,0,0.666666666667
"28",0,0,0,0.5,0,1.5,2.0,145.0,0,0,1.83333333333,1.0,0,0,0,1.0,0,0,0.5
"Un",54.8869565217,26.3666666667,38.1615384615,111.566386555,40.5833333333,50.351984127,67.8307017544,97.9912486065,59.5833333333,18.1631562882,65.009767316,42.1248351746,56.0,21.8317099567,53.9833333333,55.8261904762,98.0978151076,18.0833333333,39.4119565217
"Z",1.29347826087,0.5,0.6,1.82619047619,27.5333333333,255.838095238,3.22222222222,1.83333333333,20.6,0.00119047619048,2.58333333333,2.18449750535,0,231.577380952,3.0,1.5,5.81014492754,0,2.76847826087
"4A",0.166666666667,2.0,0.7,1.33095238095,2.16666666667,4.7,0.333333333333,0,2.2,0.95,1.61666666667,200.801834504,3.5,2.7,2.83333333333,1.5,1.7,0.866666666667,1.5
"17",1.21428571429,0.0714285714286,0,0.820512820513,0.0769230769231,0.142857142857,0.542857142857,0.571428571429,0.873626373626,2.32692307692,0.0714285714286,0.666666666667,1.48076923077,212.915018315,0.0769230769231,0,0.648351648352,0.5,0
"19",0,0.5,0,0.166666666667,0,1.3,0.166666666667,0.0833333333333,0.333333333333,0.183333333333,0.261363636364,1.91666666667,0.0833333333333,0.333333333333,1.0,176.25,0.511363636364,58.6833333333,0.25
