"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",68,134,119,13,6,12,21,5,4,4,88,2,64,164,4,8,276,1,3,2,144
"2",28,179,218,115,13,61,13,309,97,6,11,9,5,5,31,7,4,164,9,3,14
"3",167,3,3,505,7,4,7,38,5,77,6,2,254,8,3,3,2,0,1,3,12
"4",46,4,1,3,545,5,2,40,5,16,3,3,26,0,1,3,0,3,3,5,6
"5",2,2,2,11,8,6,497,8,5,8,7,1,9,337,4,7,7,4,1,3,15
"6",2,2,3,3,7,0,2,1,500,1,1,1,4,1,2,2,1,1,0,0,5
"7",4,40,18,2,3,5,9,0,6,1,9,345,58,1,1,0,0,1,3,4,2
"8",361,0,0,3,4,3,2,4,3,2,2,0,1,0,7,3,0,1,1,0,3
"9",5,252,15,3,1,2,1,3,0,4,1,93,20,0,3,4,0,0,5,0,4
"10",2,0,2,1,2,3,346,2,1,2,1,1,5,1,1,0,1,3,1,0,3
"11",3,3,0,3,1,0,5,7,0,2,3,0,0,1,3,0,2,3,38,261,3
"12",7,242,0,0,3,4,1,2,2,3,41,0,0,2,18,0,0,0,2,2,8
"13",6,0,1,2,2,277,3,0,3,0,0,0,1,1,1,2,1,2,1,1,1
"14",4,4,72,2,1,4,2,4,4,3,3,3,7,1,5,31,0,0,1,220,5
"15",2,3,2,2,1,2,1,2,1,112,176,0,3,4,0,3,1,1,0,0,3
"1A",26,7,165,98,2,9,8,1,50,193,349,3,8,1,7,4,3,4,4,5,18
"24",1,0,2,2,0,2,0,0,0,0,1,0,1,148,0,0,1,0,2,0,1
"18",6,3,3,1,1,3,0,0,0,2,1,4,0,1,1,270,1,2,0,0,3
"1B",0,0,16,0,0,0,1,1,0,0,0,2,0,14,0,0,0,0,1,0,0
"20",3,4,0,0,3,2,4,3,2,294,0,3,1,0,1,0,1,1,1,1,2
"21",168,0,3,0,2,1,1,0,1,2,1,1,0,0,1,2,1,0,0,1,0
"22",0,3,10,3,0,7,3,48,4,7,1,0,24,4,1,1,1,3,0,0,1
"23",168,2,0,4,2,0,0,0,2,1,1,1,1,0,0,1,1,1,1,0,2
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"25",59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"26",99,1,0,51,1,4,0,1,2,2,2,0,1,0,0,1,1,0,0,0,0
"27",12,1,0,4,1,1,7,1,1,1,3,0,1,0,1,157,1,0,1,1,2
"28",1,0,1,1,2,1,6,1,0,2,0,0,3,1,0,1,0,0,165,1,2
"Un",698,227,112,220,98,93,217,80,165,121,210,71,85,104,70,99,45,48,111,34,138
"Z",23,3,0,7,4,287,7,12,7,5,2,3,8,7,276,3,2,35,3,3,14
"4A",6,7,3,7,6,10,6,3,2,6,4,1,4,7,2,4,5,3,4,2,261
"17",8,9,2,7,1,2,31,0,5,9,7,1,4,4,258,0,1,1,2,1,5
"19",7,1,59,4,2,3,3,1,2,8,0,2,3,5,2,200,2,0,2,3,7
