"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",44,94,74,0,0,0,12,1,1,1,47,0,38,109,0,2,201,0,0,1,86
"2",9,113,166,81,0,50,3,224,66,1,0,1,2,0,19,2,0,114,1,1,0
"3",132,0,0,424,0,0,1,27,0,54,0,0,209,2,0,2,0,0,0,0,0
"4",24,0,0,0,392,0,0,33,1,9,0,0,20,0,0,1,0,0,0,1,0
"5",0,0,0,2,0,0,330,1,0,0,0,0,1,262,1,1,1,0,0,2,0
"6",1,0,1,1,0,0,0,0,331,0,0,0,2,1,0,2,0,0,0,0,0
"7",0,24,14,1,1,0,1,0,0,0,2,263,32,0,0,0,0,0,0,0,0
"8",262,0,0,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1
"9",2,192,8,0,0,1,0,0,0,1,0,67,14,0,0,2,0,0,0,0,0
"10",0,0,0,0,0,0,257,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"11",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,224,0
"12",2,181,0,0,0,1,0,0,0,0,28,0,0,0,15,0,0,0,0,0,2
"13",0,0,0,1,0,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,1,61,0,0,0,1,1,2,0,1,0,2,0,1,25,0,0,1,180,1
"15",0,0,0,0,0,0,0,0,0,82,128,0,0,1,0,1,0,0,0,0,0
"1A",0,0,121,2,0,0,0,0,30,145,268,0,0,0,0,1,0,0,0,0,2
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,1,0,1,0,0
"18",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0
"1B",0,0,12,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,1,0,0
"20",1,1,0,0,0,0,2,1,0,207,0,0,0,0,1,0,0,0,0,0,0
"21",109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"22",0,0,5,1,0,1,0,41,0,4,0,0,20,0,0,0,0,0,0,0,0
"23",140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"25",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",85,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"27",2,1,0,1,0,0,4,0,0,0,1,0,0,0,0,125,0,0,0,0,0
"28",0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,141,0,0
"Un",58,6,6,7,2,4,6,10,1,11,53,0,19,21,5,22,0,7,52,11,9
"Z",11,1,0,0,0,236,1,8,0,1,1,1,3,2,215,2,0,22,0,1,0
"4A",0,2,0,0,0,1,0,2,0,1,0,1,0,1,1,1,0,1,0,1,177
"17",0,1,0,1,0,0,0,0,0,0,0,0,0,0,192,0,0,0,1,0,0
"19",0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,1,1
