"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",87,0,58,3,40,137,110,51,76,19,10,15,1,167,2,208,27,6,6,6,118
"2",75,59,39,92,59,96,42,6,156,3,38,32,219,24,186,9,69,131,2,0,2
"3",139,86,1,42,9,8,3,50,64,219,68,79,17,23,2,2,253,0,4,0,7
"4",0,18,157,1,305,42,2,138,0,0,2,0,1,2,2,1,1,1,1,2,2
"5",1,196,4,3,1,1,174,10,2,2,0,435,1,39,2,0,5,0,73,0,5
"6",0,1,3,1,3,17,75,0,0,79,2,1,0,95,0,0,1,0,250,0,0
"7",251,161,2,0,3,2,2,3,10,19,0,1,1,0,1,29,3,4,0,0,0
"8",56,2,124,164,23,4,0,0,1,1,2,1,3,0,1,0,0,0,1,0,1
"9",105,1,117,2,1,3,0,2,53,11,2,0,1,1,0,100,1,10,0,0,2
"10",0,57,1,0,0,1,108,1,199,1,0,0,1,0,1,1,0,1,0,0,2
"11",0,2,1,0,2,1,36,275,2,1,0,0,1,4,0,0,0,1,1,0,1
"12",3,0,4,0,3,131,0,1,83,0,0,1,16,72,1,1,1,2,0,0,5
"13",0,0,3,0,4,3,1,0,0,1,133,0,52,0,0,0,7,106,0,0,1
"14",0,0,0,0,81,3,70,0,1,0,41,3,0,3,2,70,79,0,0,0,3
"15",0,0,0,1,208,1,2,1,2,25,35,0,2,0,0,43,1,0,0,0,0
"1A",1,38,21,0,38,259,3,13,2,188,9,28,168,2,202,7,5,0,6,72,28
"24",0,0,0,0,1,1,1,0,149,2,0,0,0,1,0,0,2,0,0,0,0
"18",3,0,2,1,2,0,0,0,0,16,278,0,0,0,1,1,1,0,0,0,1
"1B",0,1,0,0,0,0,16,0,1,0,0,0,0,0,0,16,0,0,0,0,0
"20",1,286,15,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0
"21",0,0,1,165,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0
"22",0,10,0,1,0,17,0,30,0,0,10,0,0,18,1,0,2,1,1,0,30
"23",0,0,1,173,0,0,0,1,0,1,0,0,1,1,0,0,4,1,0,0,1
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"25",5,0,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",53,0,47,0,0,0,0,0,1,3,2,0,0,0,0,1,49,0,0,0,0
"27",1,1,15,0,0,0,24,0,0,0,160,1,0,2,2,0,21,1,0,0,1
"28",1,0,0,0,0,1,1,41,2,91,3,2,1,2,2,0,41,1,0,0,5
"Un",124,190,129,166,165,188,1740,76,137,81,148,98,93,83,110,72,1447,47,64,3,120
"Z",12,7,1,193,12,3,15,12,3,1,5,2,219,0,58,0,22,78,60,0,11
"4A",7,1,2,3,8,4,6,4,2,1,3,12,2,2,2,7,3,2,1,0,256
"17",3,227,1,32,0,2,2,1,1,1,0,0,1,0,4,1,5,2,0,0,0
"19",0,0,0,2,66,0,13,0,0,0,217,0,3,1,0,1,0,1,0,0,1
