"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",176,75,6,7,3,4,15,221,3,2,1,8,60,166,4,3,12,1,6,0,0,87
"2",31,8,279,9,1,2,17,4,217,167,30,64,30,82,7,70,8,6,7,1,1,7
"3",4,234,0,62,1,0,5,2,6,1,2,472,2,8,7,153,0,2,0,2,4,15
"4",7,226,4,20,1,1,3,1,3,1,2,7,11,5,325,1,3,1,1,0,1,6
"5",187,13,5,2,0,0,2,2,2,1,0,6,2,1,1,1,202,4,3,186,1,7
"6",2,3,1,0,0,0,2,2,1,0,0,3,0,0,4,1,0,414,1,0,0,4
"7",2,1,3,2,0,0,354,2,2,1,0,5,2,44,4,2,1,1,0,0,0,1
"8",8,1,0,1,0,0,0,0,0,0,0,1,309,1,1,30,1,0,1,0,0,2
"9",3,3,5,2,1,3,59,2,1,0,0,1,3,260,0,2,1,0,3,0,1,3
"10",0,1,2,0,0,0,1,1,1,2,3,2,0,2,0,1,190,0,0,0,1,3
"11",0,1,2,4,199,0,3,0,1,1,0,1,1,2,5,0,2,0,0,0,0,3
"12",21,1,1,1,0,1,0,0,241,1,2,2,10,4,3,1,1,2,0,1,0,4
"13",3,2,254,2,0,0,1,4,0,0,0,3,0,1,1,0,1,2,2,0,0,4
"14",2,2,3,0,0,111,1,1,2,1,0,1,0,2,2,1,1,2,2,0,0,2
"15",2,21,4,0,1,0,1,1,0,0,1,2,3,2,0,1,1,0,1,0,114,1
"1A",1,7,1,229,2,1,138,165,4,8,1,96,15,4,1,38,2,2,0,0,0,14
"17",9,5,1,0,0,0,2,1,4,1,0,4,3,0,0,0,2,0,0,0,0,0
"18",0,0,1,0,0,0,0,0,1,0,1,1,1,3,0,1,0,0,133,0,0,1
"1B",17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"20",1,1,1,111,0,1,0,2,2,1,0,3,0,3,1,0,3,0,0,0,0,0
"21",0,0,0,0,0,0,1,0,0,0,0,0,47,1,0,1,0,0,2,1,0,0
"22",0,41,1,6,0,0,0,0,0,10,0,1,2,0,0,0,0,0,0,0,0,3
"23",1,1,2,1,0,0,0,2,2,0,1,2,112,4,1,0,1,2,0,0,0,3
"24",100,0,0,2,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0
"25",1,0,3,0,0,0,0,0,0,0,0,1,57,1,0,0,0,0,0,0,0,1
"26",2,1,0,1,1,0,0,0,1,0,0,56,42,0,0,49,1,1,2,0,0,0
"27",3,0,1,1,0,0,0,0,1,0,1,3,0,0,1,2,4,0,150,0,0,1
"28",3,2,0,2,0,0,0,0,1,0,0,0,1,2,1,0,2,0,2,0,0,2
"Un",116,113,85,115,22,11,87,61,164,30,16,228,204,107,56,47,72,64,85,28,24,135
"Z",271,6,38,4,1,1,5,2,37,0,193,10,6,2,5,3,4,0,1,1,5,18
"4A",13,4,6,0,3,2,4,2,2,0,2,5,2,9,2,3,3,1,2,0,0,213
"19",6,6,2,4,1,12,5,2,7,0,1,1,7,3,3,0,2,0,203,0,1,6
