"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",59,122,132,9,5,7,12,0,4,1,89,3,62,163,3,11,261,0,3,2,121
"2",17,169,225,104,9,58,8,302,88,7,9,5,4,1,30,10,2,159,9,4,8
"3",144,6,4,487,4,1,4,35,5,74,2,3,251,2,1,4,1,1,1,0,6
"4",40,3,3,1,520,5,2,40,3,20,1,1,25,0,1,2,0,0,0,4,1
"5",3,1,4,5,3,2,484,6,2,3,4,2,5,328,3,6,4,2,1,0,9
"6",3,3,4,1,9,0,1,2,476,1,1,1,4,4,1,2,1,1,0,0,2
"7",3,37,22,2,2,0,0,0,3,1,3,326,52,2,1,0,0,0,2,1,2
"8",343,0,2,3,0,0,1,1,1,3,0,0,0,0,4,1,0,0,0,0,2
"9",3,249,13,2,0,1,1,1,0,1,1,97,18,1,1,2,2,0,0,0,1
"10",3,0,1,0,1,0,335,2,1,2,1,2,2,0,0,0,0,0,1,0,2
"11",3,3,0,1,0,1,2,6,0,2,1,0,0,0,0,0,0,1,37,252,1
"12",10,238,0,0,1,2,0,0,0,0,39,1,1,2,17,0,1,0,1,3,6
"13",5,2,2,2,1,267,0,0,2,0,0,0,2,0,1,2,0,3,1,1,3
"14",0,1,70,3,0,2,2,1,3,1,0,0,2,1,3,30,0,0,1,214,3
"15",1,3,2,0,1,1,1,1,1,112,179,0,2,2,0,0,1,0,0,0,1
"1A",32,7,167,142,2,3,5,0,47,180,348,1,5,2,3,2,0,1,2,3,13
"24",0,0,1,2,0,1,0,0,0,0,2,0,0,144,1,0,1,0,1,0,0
"18",2,3,1,2,1,1,0,1,0,0,0,0,0,0,1,263,0,0,0,0,1
"1B",0,0,14,0,0,0,1,0,0,0,0,1,0,15,0,1,0,0,1,0,0
"20",0,0,0,0,0,0,4,1,1,291,0,0,0,0,1,0,1,1,1,0,0
"21",156,2,2,0,0,2,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0
"22",0,2,10,3,1,3,1,48,1,9,2,0,21,1,0,1,0,1,0,0,1
"23",171,0,0,3,0,1,1,0,2,0,0,1,0,0,0,0,0,2,0,0,3
"LG2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"25",58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",96,1,0,50,0,2,1,0,2,1,1,1,1,1,0,1,0,0,0,0,0
"27",6,0,1,3,0,1,9,0,0,2,2,0,0,1,1,157,0,0,0,0,2
"28",0,0,0,2,2,2,4,0,1,0,0,0,3,0,0,1,0,1,162,1,2
"Un",413,192,112,228,84,62,201,74,147,120,192,62,84,98,69,112,43,40,117,31,127
"Z",21,4,1,5,1,277,4,11,1,2,5,1,7,4,264,5,0,32,5,1,11
"4A",3,4,3,4,7,5,5,3,2,3,0,1,4,7,5,3,5,3,3,3,245
"17",5,3,3,3,3,2,13,0,4,5,4,0,1,0,243,0,0,0,1,0,0
"19",6,0,70,3,0,3,3,2,2,3,0,0,2,7,1,208,0,0,0,2,2
