,Ancestral sequences,ailuropoda_melanoleuca,anas_platyrhynchos,anolis_carolinensis,astyanax_mexicanus,bos_taurus,caenorhabditis_elegans,callithrix_jacchus,canis_familiaris,cavia_porcellus,chlorocebus_sabaeus,choloepus_hoffmanni,ciona_intestinalis,ciona_savignyi,danio_rerio,dasypus_novemcinctus,dipodomys_ordii,drosophila_melanogaster,echinops_telfairi,equus_caballus,erinaceus_europaeus,felis_catus,ficedula_albicollis,gadus_morhua,gallus_gallus,gasterosteus_aculeatus,gorilla_gorilla,homo_sapiens,ictidomys_tridecemlineatus,latimeria_chalumnae,lepisosteus_oculatus,loxodonta_africana,macaca_mulatta,macropus_eugenii,meleagris_gallopavo,microcebus_murinus,monodelphis_domestica,mus_musculus,mustela_putorius_furo,myotis_lucifugus,nomascus_leucogenys,ochotona_princeps,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,otolemur_garnettii,ovis_aries,pan_troglodytes,papio_anubis,pelodiscus_sinensis,petromyzon_marinus,poecilia_formosa,pongo_abelii,procavia_capensis,pteropus_vampyrus,rattus_norvegicus,saccharomyces_cerevisiae,sarcophilus_harrisii,sorex_araneus,sus_scrofa,taeniopygia_guttata,takifugu_rubripes,tarsius_syrichta,tetraodon_nigroviridis,tupaia_belangeri,tursiops_truncatus,vicugna_pacos,xenopus_tropicalis,xiphophorus_maculatus
1,,,,263920458.0,,158337067.0,,210400635.0,122678785,,126035930.0,,10041005.0,,60348388.0,,,,,185838109.0,,,,,195276750.0,,229507203,248956422.0,,,,,228252215.0,,204065131.0,,748055161.0,195471971.0,,,,,,47594283,194850757.0,39973033.0,,275612895.0,228333871.0,220367699.0,,,,229942017.0,,,290094216.0,,,,315321322.0,118548696,,,22981688.0,,,,,
10,,,,,,104305016.0,,132174527.0,69331447,,128595539.0,,4880875.0,,46591166.0,,,,,83980604.0,,,,,19911089.0,,147764049,133797422.0,,,,,94855758.0,,31125776.0,,,130694993.0,,,,,,11243762,47997241.0,27595823.0,,86447213.0,133524379,90941950.0,,,,133410057.0,,,112200500.0,,,,79102373.0,20806668,,,13272281.0,,,,,
11,,,,,,107310763.0,,130397257.0,74389097,,128539186.0,,5152901.0,,46661319.0,,,,,61308211.0,,,,,19401079.0,,133470886,135086622.0,,,,,134511895.0,,24221871.0,,,122082543.0,,,,,,6809224,87554214.0,29412213.0,,62248096.0,133121534,132286798.0,,,,132107971.0,,,93518069.0,,,,87690581.0,21403021,,,11954808.0,,,,,
12,,,,,,91163125.0,,121768101.0,72498081,,108555830.0,,5356124.0,,50697278.0,,,,,33091231,,,,,19897011.0,,133360231,133275309.0,,,,,106505843.0,,20663262.0,,,120129022.0,,,,,,15872666,155355395.0,30041894.0,,79100223.0,134246214,104110932.0,,,,136387465.0,,,54450796.0,,,,63588571.0,21576510,,,12622881.0,,,,,
13,,,,,,84240350.0,,117903854.0,63241923,,98384682.0,,1792679.0,,54093808.0,,,,,42578167,,,,,17760035.0,,97499607,114364328.0,,,,,138028943.0,,20109194.0,,,120421639.0,,,,,,,143360832.0,33409148.0,,83079144.0,115123233,128036923.0,,,,117095149.0,,,118718031.0,,,,218635234.0,16962381,,,13302670.0,,,,,
14,,,,,,84648390.0,,108792865.0,60966679,,107702431.0,,4591987.0,,53733891.0,,,,,93904894.0,,,,,15161805.0,,88974843,107043718.0,,,,,133002572.0,,20812856.0,,,124902244.0,,,,,,2696122,163896628.0,33607196.0,,62722625.0,106544938,123829720.0,,,,108868599.0,,,115151701.0,,,,153851969.0,16419078,,,10246949.0,,,,,
15,,,,,,85296676.0,,98464013.0,64190966.0,,91754291.0,,,,47442429.0,,,,,91571448.0,,,,,12656803.0,,82026568,101991189.0,,,,,110119387.0,,18242780.0,,,104043685.0,,,,,,3786880,109054052.0,30000224.0,,80923592.0,99548318.0,107442819.0,,,,99152023.0,,,114627140.0,,,,157681621.0,14428146,,,7320470.0,,,,,
16,,,,,,81724687.0,,96796970.0,59632846.0,,75148670.0,,,,58780683.0,,,,,87365405.0,,,,,535270.0,,80971650,90338345.0,,,,,78773432.0,,15988495.0,,,98207768.0,,,,,,,84478945.0,30014384.0,,71719816.0,89983829.0,74645514.0,,,,77800216.0,,,90051983.0,,,,86898991.0,9909,,,9031048.0,,,,,
17,,,,,,75158596.0,,74750902.0,64289059.0,,71996105.0,,,,53984731.0,,,,,80757907.0,,,,,10454150.0,,94257108,83257441.0,,,,,94452569.0,,13277600.0,,,94987271.0,,,,,,1399469,85008467.0,31848461.0,,72286588.0,82630442,90913898.0,,,,73212453.0,,,92503511.0,,,,69701581.0,11648728,,,12136232.0,,,,,
18,,,,,,66004023.0,,47448759.0,55844845.0,,72318688.0,,,,49877488.0,,,,,82527541,,,,,11219875.0,,78787515,80373285.0,,,,,73567989.0,,244177.0,,,90702639.0,,,,,,6611290,69800736.0,29908082.0,,68604602.0,76611499,72186199.0,,,,94050890.0,,,87229863.0,,,,61220071.0,11201131,,,11077504.0,,,,,
19,,,,,,64057457.0,,49578535.0,53741614.0,,33263144.0,,,,50254551.0,,,,,59975221.0,,,,,9983394.0,,56181278,58617616.0,,,,,64391591.0,,10526435.0,,,61431566.0,,,,,,,57279966.0,23451325.0,,60464314.0,63644993,51301725.0,,,,60714840.0,,,72914587.0,,,,,11587733,,,7272499.0,,,,,
1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73657157,,,,,,,,
1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083483,,,,,,,,
2,,,,199619895.0,,137060424.0,,204313951.0,85426708,,90373283.0,,7758925.0,,60300536.0,,,,,120857687.0,,,,,148809762.0,,,242193529.0,,,,,189746636.0,,116965580.0,,541556283.0,182113224.0,,,,,,54797317,174332312.0,31118443.0,,248993846.0,,187378091.0,,,,,,,285068071.0,,,,162569375.0,156412533,,,21591555.0,,,,,
20,,,,,,72042655.0,,44557958.0,58134056.0,,130588469.0,,,,55952140.0,,,,,64166202.0,,,,,14302601.0,,62603092.0,64444167.0,,,,,88221753.0,,11078015.0,,,,,,,,,1816412,33191332.0,24728221.0,,51176841.0,61729293,71807805.0,,,,62736349.0,,,57791882.0,,,,,15652063,,,3798727.0,,,,,
21,,,,,,71599096.0,,50472720.0,50858623.0,,127223203.0,,,,44544065.0,,,,,57723302.0,,,,,6802778.0,,35451371.0,46709983.0,,,,,,,10459824.0,,,,,,,,,,15578276.0,31883787.0,,50073674.0,32799110.0,,,,,48394510.0,,,,,,,,5979137,,,5834722.0,,,,,
22,,,,,,61435874.0,,49145316.0,61439934.0,,101219884.0,,,,42261000.0,,,,,49946797.0,,,,,4081097.0,,35671106.0,50818468.0,,,,,,,14786829.0,,,,,,,,,,,28810691.0,,50832532.0,49737984,,,,,46535552.0,,,,,,,,3370227,,,,,,,,
23,,,,,,52530062.0,,,52294480.0,,82825804,,,,46386876.0,,,,,55726280.0,,,,,5723239.0,,,,,,,,,,7113888.0,,,,,,,,,,,24050845.0,,62330649.0,,,,,,,,,,,,,,6196912,,,,,,,,
24,,,,,,62714930.0,,,47698779.0,,84932903.0,,,,43947580.0,,,,,46749900.0,,,,,6323281.0,,,,,,,,,,4158796.0,,,,,,,,,,,24165179.0,,42034648.0,,,,,,,,,,,,,,8021379,,,,,,,,
25,,,,,,42904170.0,,,51628933.0,,85787240.0,,,,38499472.0,,,,,39536964.0,,,,,2191139.0,,,,,,,,,,5560109.0,,,,,,,,,,,,,45367442.0,,,,,,,,,,,,,,1275379,,,,,,,,
